id,label,title,content
4582924,Thể thao,Việt Nam vô địch bóng ném bãi biển châu Á nữ 2023,"Giải vô địch bóng ném bãi biển nam và nữ châu Á lần chín diễn ra tại Bali, Indonesia từ ngày 10 đến 19/3. Việt Nam tham dự cả hai nội dung cho nam và nữ.
Đội nữ thi đấu cùng Indonesia, Hong Kong và Philippines theo thể thức lượt đi - về. Đội thể hiện sức mạnh vượt trội khi toàn thắng sáu trận, thậm chí không thua hiệp nào và vô địch sớm một vòng khi hạ Hong Kong 2-0 ngày 15/3. Ở giải lần trước tại Thái Lan năm ngoái, đội cũng vô địch.
Thái Lan hiện dẫn đầu với ba lần vô địch sau bảy lần tổ chức nội dung cho nữ. Ở giải năm 2017 và 2019, Việt Nam cũng giành ngôi á quân.
Trong khi đó, ở nội dung cho nam, Việt Nam vượt qua vòng bảng với vị trí nhì với bốn trận thắng trước Kuwait, Trung Quốc, Hong Kong và Indonesia. Việt Nam thua duy nhất một trận trước đội nhất bảng Oman.
Đến bán kết, Việt Nam chạm trán Qatar và thua 0-2, mỗi hiệp đều kết thúc với tỷ số sát nút 18-19. Việt Nam sẽ gặp Iran ở trận tranh HC đồng chiều 19/3. Trước đó, Iran trở thành cựu vương sau khi thua Oman ở bán kết. Đây là lần thứ tư liên tiếp Việt Nam thi đấu trận tranh HC đồng với thành tích thắng một trước Oman, thua hai cùng trước Iran.
Ở nội dung cho nam, các nước Tây Á thống trị khi thâu tóm cả tám chức vô địch, trong đó Qatar vô địch năm lần. Khu vực này sẽ có chức vô địch thứ chín khi trận chung kết năm nay diễn ra giữa Qatar và Oman.
Dù không vào chung kết, đội tuyển nam vẫn tiếp bước đội tuyển nữ giành vé tham dự Giải vô địch thế giới vào tháng 6/2024. Riêng đội nữ còn giành vé dự Đại hội thể thao bãi biển thế giới vào tháng 8/2023 cũng tại Bali, Indonesia.
SEA Games 32 vào tháng 5 tới tại Campuchia sẽ không có môn bóng ném bãi biển, sau hai kỳ liên tiếp Việt Nam thống trị cả hai nội dung.
Hiếu Lương"
3891629,Ý kiến,"Việt Nam cần vô địch SEA Games trước, vòng loại World Cup để sau","Bộ trưởng Bộ Văn hoá, Thể thao, Du lịch Nguyễn Ngọc Thiện đến thăm đội U23 Việt Nam, sáng nay 8/3. ""Đội phải giành HC vàng SEA Games 30. Bao nhiêu năm qua, Việt Nam chưa đoạt được tấm HC vàng này, nên người hâm mộ rất mong mỏi. Tôi biết nói ra chỉ tiêu này có thể sẽ gây áp lực cho đội, nhưng không thể nói khác được"", Bộ trưởng Nguyễn Ngọc Thiện chia sẻ.
SEA Games và World Cup đều cần, nhưng thiết thực hơn vẫn là SEA Games. Chưa chắc đã vượt qua cửa ải vòng loại World Cup chứ đừng nói có vé dự World Cup. Liệu cơm mà gắp mắm, SEA Games đang thiếu và cũng là chiếc cup người hâm mộ mong đợi .
Bóng đá là để phục vụ khán giả, phục vụ người hâm mộ. Hàng triệu người thuộc nhiều thế hệ khán giả Việt Nam vẫn còn rất nhiều nuối tiếc và khao khát với huy chương vàng bóng đá SEA Games. Hơn nữa, Việt Nam đang có đủ nhân hòa và địa lợi để thực hiện ước mơ tưởng chừng nhỏ bé này.
Giải đấu Asian Cup vừa qua cho thấy rằng Việt Nam còn phải phấn đấu rất nhiều để đứng vững và duy trì vị trí trong top 8 châu Á, giúp tạo tiền đề vươn ra World Cup trong tương lai. Chúng ta vẫn phải tiêu hao quá nhiều sức lực cho mỗi trận đấu, trong khi các đội trong top 8 đá một cách nhàn nhã hơn mà vẫn dành được kết quả vừa đủ để vượt qua đối thủ. Đó là sự khác biệt của bóng đá hiện đại
Cá nhân tôi nghĩ, nếu Việt Nam đạt được chiếc huy chương vàng SEA Games môn bóng đá thì chắc chắn đó là cột mốc để bóng đá Việt Nam chuyển mình ra châu Á và thế giới, không còn bận tâm về giải ""ao làng"" làm gì. Tương lai Việt Nam có thể cử U20 tham dự bóng đá SEA Games chỉ để cọ xát. Đó là lý do vì sao Liên đoàn Bóng đá Việt Nam giao ông Park nhiệm vụ nắm tuyển U23.
Vấn đề HCV SEA Games nó không phải giá trị vật chất lớn mà nó mang lại giá trị tinh thần tạo dựng lòng tin, và cũng là giải toả cơn khát bao năm qua nếu làm được, sẽ được rất nhiều chứ không chỉ là cái huy chương kia đâu.
Tôi nghĩ giấc mơ World Cup với Việt Nam thời điểm này vẫn còn xa vời, hãy kiếm lấy HCV SEA Games đã. Nó như một cú hích tâm lý làm cho các thế hệ sau coi SEA Games chỉ là cái ao làng. Khi chưa một lần cầm vàng thì vẫn còn tâm lý sợ hãi.
>> Chia sẻ bài viết của bạn cho trang Ý kiến tại đây."
3965378,Ngôi Sao,Khả Ngân dẫn Châu Bùi khám phá Sài Gòn,"Hải My
|Cetaphil là một dòng chăm sóc da thuộc Galderma Laboratories, sản xuất tại Canada. Sửa rửa mặt Cetaphil giúp loại bỏ chất nhờn trên mặt, tẩy sạch bụi bẩn và trang điểm mà không làm cho da bạn bị khô ráp, đem lại cho bạn cảm giác sảng khoái, tươi mát và sạch sẽ. Thông tin thêm về sản phẩm xem tại đây."
4614482,Khoa học,Đường hầm gió siêu thanh mạnh nhất thế giới,"Nằm ở quận Hoài Nhu phía bắc Bắc Kinh, đường hầm gió JF-22 có đường kính 4 m và có thể tạo ra dòng khí với vận tốc lên tới 10 km/s, theo đánh giá cuối cùng tiến hành hôm 30/5. Điều đó biến công trình thành đường hầm gió lớn và nhanh nhất thế giới, có thể mô phỏng điều kiện bay siêu thanh tới Mach 30 (37.044 km/h), theo Viện Cơ khí, cơ quan quản lý JF-22.
Đường hầm này sẽ ""hỗ trợ nghiên cứu và phát triển hệ thống vận chuyển không gian và máy bay siêu thanh của Trung Quốc"", theo thông báo hôm 2/6 của viện. Để so sánh, đường hầm Mach 10 (12.348 km/h) tại Trung tâm nghiên cứu Langley của NASA ở Mỹ, một cơ sở thử nghiệm siêu thanh chủ chốt, có đường kính khoang kiểm tra gần 0,8 m. Khoang kiểm tra lớn hơn cho phép các nhà nghiên cứu đưa những mô hình máy bay to, thậm chí toàn bộ vũ khí vào đường hầm gió để thu dữ liệu bay chính xác hơn. Phần lớn tên lửa liên lục địa có đường kính dưới 4 m.
JF-22 gắn liền với mục tiêu do chính phủ Trung Quốc đặt ra và nỗ lực hoàn thành vào năm 2035. Đó là triển khai đội máy bay siêu thanh có thể chở hàng nghìn hành khách vào không gian mỗi năm, hoặc tới bất kỳ nơi nào trên hành tinh trong vòng một giờ. Nhưng máy bay như vậy phải chịu được nhiệt độ và áp suất cực hạn của bay siêu thanh, duy trì đường bay ổn định cũng như môi trường an toàn, thoải mái cho hành khách.
Ở tốc độ gấp 5 lần vận tốc âm thanh, phân tử khí quanh máy bay bắt đầu bị nén lại và nóng lên, dẫn tới hiện tượng phân ly phân tử. Các phân tử khí vỡ thành những nguyên tử cấu thành, chúng có thể phản ứng với nhau để hình thành chất hóa học mới. Việc hiểu rõ đặc điểm vật lý phức tạp của dòng khí đi liền với phân ly phân tử đóng vai trò chủ chốt trong phát triển máy bay siêu thanh.
Thông qua nghiên cứu hiện tượng ở môi trường thí nghiệm như đường hầm gió, nhà khoa học có thể khám phá cách phương tiện siêu thanh tương tác với môi trường xung quanh, đồng thời phát triển công nghệ mới nhằm cải thiện hiệu suất và độ an toàn. Thử nghiệm trong đường hầm gió có thể giúp xác định vấn đề tiềm ẩn hoặc lỗi thiết kế trước khi phương tiện được chế tạo và bay thử, giảm rủi ro thất bại hoặc tai nạn.
Theo một số ước tính, mô phỏng điều kiện bay Mach 30 bên trong đường hầm gió lớn đòi hỏi lượng điện tương đương công suất của đập Tam Hiệp, điều bất khả thi trong thực tế. Vì vậy, giáo sư Professor Jiang Zonglin, nhà khoa học đứng đầu dự án JF-22, nảy ra một sáng kiến.
Nhằm tạo ra dòng khí tốc độ cao cần thiết cho thử nghiệm siêu thanh, Jiang đề xuất một loại máy phát sóng xung kích mới gọi là ""động cơ sóng xung kích trực tiếp phản xạ"". Trong đường hầm gió thông thường, dòng khí sinh ra từ quá trình giãn nở, trong đó khí gas áp suất cao xả nhanh vào buồng áp suất thấp, tạo ra dòng siêu thanh. Tuy nhiên, phương pháp này có một số hạn chế khi cần tạo tốc độ và nhiệt độ cực cao để thử nghiệm siêu thanh.
Động cơ sóng xung kích phản xạ của Jiang khắc phục hạn chế bằng cách sử dụng một chuỗi vụ nổ theo thời gian chính xác để sản sinh hàng loạt sóng xung kích phản xạ lẫn nhau và đồng quy ở một điểm. Chớp năng lượng cực mạnh thu được sẽ dùng để đẩy dòng khí trong đường hầm gió ở tốc độ siêu cao.
Sáng kiến trên mở đường cho nhiều thành tựu bằng cách giúp nghiên cứu bay siêu thanh trở nên chính xác và hiệu quả hơn. Sử dụng chất nổ để tạo năng lượng trong đường hầm gió đi kèm nhiều bất lợi như nguy hiểm với cả con người và thiết bị, tạo ra tiếng ồn và ô nhiễm không khí. Tuy nhiên, do nguồn năng lượng sinh ra từ các vụ nổ thay vì hệ thống máy móc cố định, có thể điều chỉnh cường độ và thời gian của vụ nổ để tạo dòng khí đa dạng phục vụ thử nghiệm nhiều loại phương tiện hoặc vật liệu khác nhau.
Hiệp hội Khoa học Tự nhiên Quốc gia Trung Quốc cử 16 chuyên gia độc lập đánh giá JF-22 ở một số lĩnh vực quan trọng, bao gồm thời gian thử nghiệm hiệu quả, tổng nhiệt độ, tổng áp suất và dòng chảy vòi phun. Họ kết luận JF-22 đạt hiệu suất hàng đầu thế giới. Cùng với đường hầm JF-12, JF-22 trở thành cơ sở thử nghiệm duy nhất trên mặt đất đáp ứng mọi mặt của phương tiện cận không gian.
An Khang (Theo SCMP)"
4378128,Kinh doanh,Đồng Shiba Inu lại tăng đột biến,"Shiba Inu (SHIB) - đồng tiền số được tạo ra dựa trên ""trò đùa"" Dogecoin - đang là tâm điểm chú ý của thị trường tiền điện tử khi tăng phi mã.
Chỉ trong 5 ngày, giá SHIB tăng hơn ba lần, từ mức 0,000028 lên 0,000084 USD. Nếu so với một tháng trước, giá của Shiba tăng gần 13 lần. Vốn hóa của đồng tiền này hiện đạt hơn 52 tỷ USD, đứng thứ 7 theo CoinMarketCap. Dogecoin, hình mẫu tạo ra Shiba Inu, đứng thứ 11 thị trường với vốn hóa 31,4 tỷ USD.
Nhiều nhà đầu tư đặt cược vào Shiba Inu, với hy vọng kiếm được lợi nhuận nhanh chóng sau khi bỏ lỡ ""con sóng"" Dogecoin.
""Mọi người mua Shiba Inu vì đã thấy những gì xảy ra với Dogecoin"", Matt Ville, 32 tuổi, người đã bỏ 200 USD vào Shiba Inu vào ngày 7/10. Khoản đầu tư của anh hiện trị giá khoảng 1.800 USD.
Ville, người làm việc tại Best Buy và một sòng bạc ở Nam Florida cũng nói rằng cảm thấy chắc chắn hơn về khoản đầu tư sau khi đồng tiền này được niêm yết trên sàn giao dịch tiền điện tử Coinbase. ""Tôi tin rằng đây sẽ là một Dogecoin thứ hai"", Ville nói.
Shiba Inu cũng tăng vọt bất chấp việc Elon Musk - tỷ phú giàu nhất thế giới - thông báo trên mạng xã hội rằng không sở hữu một đồng Shiba nào. Musk nói rằng đã mua Bitcoin, Ether, Dogecoin, và ""thế là xong"".
Sức nóng của thị trường với Shiba Inu còn xuất phát từ đề nghị của hàng loạt nhà đầu tư cá nhân để niêm yết SHIB trên nền tảng giao dịch trực tuyến Robinhood.
Đầu tuần này, Robinhood cho biết doanh thu từ giao dịch tiền điện tử đã giảm 78% trong quý III so với ba tháng trước đó. Tuy nhiên, công ty cho biết vẫn chưa sẵn sàng với Shiba. Bất chấp nhu cầu từ thị trường và sự cạnh tranh từ các nhà môi giới đã niêm yết Shiba Inu, Robinhood vẫn từ chối và cho biết môi trường pháp lý xung quanh các đồng tiền mới vẫn đang phát triển.
""Chúng tôi sẽ rất cẩn thận"", Vlad Tenev, Giám đốc điều hành của Robinhood cho biết trong một hội nghị sau khi báo cáo doanh thu quý III không đạt kỳ vọng.
Robinhood cũng cho hay, họ thận trọng với các đồng tiền điện tử mới, nếu chúng có nguy cơ gây ra lo ngại từ các nhà quản lý. Điều này không phải không có lý do. Mike Bailey, Giám đốc nghiên cứu của FBB Capital Partners cho rằng ""có thể có những rủi ro về tài chính hoặc uy tín"".
""Nếu diễn biến giá không như kỳ vọng thì đó là một vấn đề. Shiba Inu có giá rẻ, nhưng nếu các nhà đầu tư hoặc mất tiền hoặc thất vọng, Robinhood có thể bị thiệt hại"", Bailey nhận xét.
Dù vậy, ở phía ngược lại, nếu nhìn từ thành công của Dogecoin, Robinhood có lý do để tham gia vào con sóng Shiba Inu. Khoảng 64% trong số 233 triệu USD doanh thu tiền điện tử của công ty trong quý II năm nay là do Dogecoin.
Trong quý thứ ba, doanh thu giao dịch tiền điện tử của Robinhood giảm xuống chỉ còn 51 triệu USD cũng do đồng tiền này đã mất đi sự chú ý. Vị trí này hiện thuộc về Shiba Inu.
Minh Sơn (theo Bloomberg)"
4079647,Pháp luật,Lừa đưa người sang Hàn Quốc,"Ngày 4/4, Ánh bị Công an Hà Tĩnh khởi tố, bắt giam về tội Lừa đảo chiếm đoạt tài sản, theo điều 174 Bộ luật Hình sự 2015.
Theo điều tra, đầu năm 2019, do mở công ty làm ăn thua lỗ, nợ nần, Ánh về Nghệ An, Hà Tĩnh lừa đảo có thể lo đưa người sang Hàn Quốc làm việc theo chương trình du học nông nghiệp, lương 36 triệu đồng mỗi tháng. Giá một suất là 150 triệu đồng, ai có nhu cầu phải đặt cọc trước 54 triệu đồng.
26 người đã nộp cho Ánh 1,1 tỷ đồng để đưa con, người thân của họ sang Hàn Quốc. Nhận tiền, Ánh dùng chi tiêu cá nhân, trả nợ, không đưa được ai ra nước ngoài. Từ tố cáo của nạn nhân, đầu tháng 4/2020, Ánh bị bắt."
4123133,Thế giới,Nhật 'lấy làm tiếc' với luật an ninh Hong Kong,"Phát biểu tại cuộc họp báo ở Tokyo hôm nay, Chánh văn phòng Nội các Nhật Yoshihide Suga cho hay động thái ""đáng tiếc"" của Trung Quốc khi thông qua luật an ninh Hong Kong có thể làm xói mòn độ tin cậy trong chính sách ""một quốc gia, hai chế độ"".
""Chúng tôi sẽ tiếp tục hợp tác với các nước liên quan để giải quyết vấn đề này một cách hợp lý"", ông Suga nói thêm, khi được hỏi về thông tin Trung Quốc thông qua luật an ninh Hong Kong.
Ủy ban Thường vụ Quốc hội Trung Quốc thông qua luật an ninh Hong Kong sáng nay, dự kiến có hiệu lực từ ngày 1/7. Một nguồn thạo tin cho biết chi tiết luật an ninh sẽ được công bố chiều nay, đánh dấu lần đầu tiên luật được công khai đầy đủ với công chúng.
Trưởng đặc khu Hong Kong Carrie Lam nói rằng một khi luật an ninh được thông qua, chính quyền thành phố sẽ nỗ lực hết sức để trả lời những câu hỏi về luật pháp, đặc biệt là những vấn đề liên quan đến thực thi luật và thi hành án.
Nhật Bản từng nhiều lần bày tỏ quan ngại về tình hình Hong Kong cũng như kêu gọi chính phủ Trung Quốc ""hành động khôn ngoan"". Thủ tướng Shinzo Abe cũng cho biết muốn dẫn dắt G7 ra tuyên bố chung về tình hình Hong Kong.
Luật an ninh Hong Kong làm dấy lên lo ngại về số phận chính sách ""một quốc gia, hai chế độ"", cam kết cho Hong Kong mức độ tự trị cao khi đặc khu được Anh trao trả cho Trung Quốc năm 1997. Trong khi đó, Bắc Kinh khẳng định dự luật trên thực tế củng cố nguyên tắc ""một quốc gia, hai chế độ"", phục vụ lợi ích và hỗ trợ Hong Kong phát triển.
Ngọc Ánh (Theo Reuters)"
4390831,Thời sự,Nguyễn Thị Ngân (1941 - 2021) - VnExpress ,"Bác của con ra đi thanh thản. Hành lý bác mang đi chỉ là một chiếc áo thun cũ màu, chiếc quần sọc ngang gối cùng đôi dép đã gần mòn hết đế đi. Nhưng bác ơi, con tin là nội sẽ đón bác trong vòng tay ấm áp của nội thôi. Bác qua với nội, con ở nơi này nhớ hai người!
Vậy là cũng hơn 3 tháng cậu mất rồi. Cậu yên tâm, gia đình mình sẽ lo chu toàn cho bà ngoại. Đến bây giờ ngoại vẫn chưa biết điều cậu đã mất,đau đớn lắm cậu ơi! Sức khỏe ngoại yếu quá sau Covid nên chuyện này gia đình mình đành giấu... Mong cậu nơi đó sẽ hạnh phúc hơn nơi này, cầu mong cho ...
+
Xem thêm
Ngô Văn Nam (1947 - 2021)
Nguyen Duc Quan
Người bác tần tảo hiền hậu của con (1966 - 2021)
Cháu gái nhỏ xíu của bác
Trần Văn Lắm (1964 - 2021)
Lê Hoàng Thanh Ngân"
4175314,Giải trí giới trẻ,Black Pink bị mỉa mai 'chơi chiêu vẫn không thể No.1 Billboard 200',"Tối 11/10 (giờ địa phương), BXH Billboard 200 được công bố với kết quả No.1 tuần này thuộc về Savage Mode II của 21Savage và Metro Boomin; No.2 thuộc về The Album của Black Pink. Đây là BXH danh giá của Billboard nhằm thống kê những album phổ biến và bán chạy nhất tuần tại Mỹ.
Theo số liệu của Billboard, The Album đạt 110.000 đơn vị trong tuần kết thúc vào ngày 8/10, trong đó 81.000 là sale thuần, 26.000 đơn vị quy đổi đổi từ streams (40,3m streams) và 2.000 đơn vị quy đổi đổi từ lượng sales các track trong album.
Màn debut hạ cánh No.2 của Black Pink gây tiếng vang khi nhóm trở thành girlgroup Kpop có thứ hạng cao nhất trên BXH Billboard 200. The Album cũng là album có thứ hạng cao nhất của một nhóm nữ trên toàn thế giới trong 12 năm qua kể từ Welcome to the Dollhouse của Dainty Kane. Black Pink đang là nghệ sĩ nữ Kpop có nhiều album xuất hiện trên BXH này nhất với 3 Album: The Album (debut No.2), Kill This Love (No.24) và Square Up (No.40).
Bên cạnh những lời khen dành cho Black Pink, vẫn có nhiều ý kiến cho rằng thành tích này là một ""thất bại"" đối với bản thân nhóm và YG. Theo phân tích, YG đã có chiến lược khá bài bản khi tung 2 single mở đường (How You Like That và Ice Cream) cùng sự góp mặt hỗ trợ của các tên tuổi lớn như Selena Gomez, Cardi B và một loạt chiêu thức bundle (thuật ngữ chỉ việc bán phụ kiện đính kèm nhạc nhằm tăng doanh số) để nhắm The Album tới vị trí cao nhất của Billboard 200. The Album cũng mở pre-order từ khá sớm (hơn một tháng rưỡi kể từ lúc mở đặt hàng cho đến khi phát hành). Tuy nhiên, album này chỉ đạt No.2 mà không thể giành hạng 1.
Black Pink bị mỉa mai ""chơi chiêu bundle"" mà vẫn không đạt mục tiêu cao nhất. Nhóm cũng bị chê thua kém cả SuperM - nhóm nhạc dự án của SM vốn nổi tiếng với những chiêu bundle để nâng cao doanh số bán đĩa, qua đó thuận lợi leo lên hạng 1 Billboard 200 với album The 1st Mini Album 'SuperM' hồi tháng 10/2019.
Một số bình luận: ""Lết mãi từ tháng 8 đến nay mà chỉ có 81.000 sale thuần sao? Thế mà cứ nổ là girlgroup hàng đầu tại Mỹ""; ""Có cố gắng nhưng thất bại rồi, dồn bundle từ Ice Cream qua tới The Album mà vẫn không No.1 nổi""; ""YG bảo pre-order ở Mỹ và châu Âu là 340.000 bản mà, sao giờ số liệu thấp hơn nhiều vậy?""; ""Cứ tưởng ẵm được No.1 Billboard 200 cơ, hóa ra chỉ đứng hạng 2. Tuần sau không được áp dụng bundle nữa là chơi cầu tuột liền""...
Trước những ý kiến mỉa mai, fan của Black Pink cho rằng đây vẫn là một thành tích đáng tự hào đối với girlgroup Kpop. Các Blink cũng cho rằng không thể đặt ngang hàng chiêu thức bundle ""lươn lẹo"" của SuperM hồi năm ngoái với Black Pink. Boygroup nhà SM bán phụ kiện thông qua bên thứ ba (fan ngoài nước Mỹ mua hàng vẫn được tính vào sale tại Mỹ) nhưng Black Pink lại tuân thủ quy định của Billboard khi bán sản phẩm không thông qua bên thứ ba.
Ngoài ra, giá các món phụ kiện của Black Pink khá đắt đỏ, không phải ""bán ào ạt giá rẻ để đẩy sale"" như SuperM. Lượng bundle của Black Pink được cho là đóng góp không quá nhiều vào doanh số chung. Bên cạnh đó, doanh số đĩa cứng và digital của The Album cũng đạt thành tích tốt tại Mỹ, tiến bộ vượt bậc so với mini-album Kill This Love hồi tháng 4 năm ngoái. Chính vì những lý do này, fan vẫn có phản ứng tích cực và bày tỏ sự tự hào đối với nhóm nữ nhà YG.
Bee"
4609792,Số hóa,Ba nguyên mẫu từng bị Apple khai tử,"Là tập đoàn công nghệ trị giá nghìn tỷ USD, Apple dành nhiều thời gian và tiền bạc cho nghiên cứu công nghệ và phát triển sản phẩm. Công đoạn cuối là tạo các nguyên mẫu, đưa vào kiểm thử chất lượng trước khi phát hành ra thị trường.
Tuy nhiên, không phải tất cả nguyên mẫu của Apple đều biến thành sản phẩm để bán. Một số ""thất bại ngay ngưỡng thiên đường"" vì không thể vượt qua bài kiểm tra chất lượng nghiêm ngặt của hãng.
Bộ sạc Magic Charger
Khi giới thiệu sạc MagSafe cho iPhone năm 2020, Apple được cho là cũng tạo một đế sạc có tên Magic Charger. Công ty không công bố và cũng không nhắc đến phụ kiện này, nhưng nó xuất hiện trong bộ sưu tập của một số nhà sưu tầm sau đó. Điều này cho thấy hãng đã phát triển bộ sạc nhưng không phát hành.
Theo tài khoản Twitter Kyouko Mizumi, nguyên mẫu Magic Charger có cấu tạo bằng nhôm nguyên khối, ở giữa là bộ phận sạc MagSafe linh hoạt, có thể lật với góc 90 độ hoặc nằm ngang. Phụ kiện đi kèm cáp USB-C to Lighning. Khi kết nối với máy tính, màn hình thiết bị hiện lên tên gọi sản phẩm là Apple Magic Charger.
Dù không ra mắt Magic Charger, Apple sau đó có giải pháp thay thế là MagSafe Duo. Tuy vậy, sản phẩm giới hạn tốc độ sạc 11 W, trong khi nguyên mẫu Magic Charger được thử nghiệm cho tốc độ cao hơn.
AirPower
Không như Magic Charger, AirPower thậm chí được Apple công bố vào tháng 9/2017. Điểm mạnh của AirPower so với hầu hết đế sạc chuẩn Qi là người dùng có thể nạp năng lượng cùng lúc cho iPhone, Apple Watch và AirPod, thay vì chỉ sạc một thiết bị và phải đặt đúng vị trí.
Nhưng sau đó, sản phẩm liên tục trễ hẹn. Một số nguồn tin cho biết AirPower bị trì hoãn do gặp tình trạng quá nhiệt. Thiết kế có thể sạc cùng lúc cho cả ba thiết bị khiến việc chế tạo khe thoát nhiệt đòi hỏi sự chính xác cao và vật liệu đắt tiền.
""Sau nhiều nỗ lực, chúng tôi nhận thấy AirPower không đạt được các tiêu chuẩn của mình và đã hủy dự án. Chúng tôi tin tưởng tương lai của công nghệ là không dây và sẽ tiếp tục thúc đẩy nó"", Phó chủ tịch Apple Dan Riccio đưa ra thông báo vào tháng 3/2019, gần hai năm sau khi công bố AirPower.
Một số nguyên mẫu AirPower đã xuất hiện trên Internet, cho thấy cấu trúc bên trong gồm nhiều cuộn dây đồng cùng hệ thống máy phát đồng bộ để sạc cho một thiết bị sau khi xác định được vị trí của nó trên đế sạc bằng phần mềm. Theo The Verge, cấu trúc này dễ sinh nhiệt và quá phức tạp để có thể sản xuất đại trà, khiến Apple phải khai tử AirPower.
iPad với cổng kép
Cách đây hai năm, Giulio Zompetti, tài khoản Twitter sở hữu nhiều nguyên mẫu thiết bị của Apple, đăng ảnh về chiếc iPad đời đầu có hai cổng kết nối. Bên cạnh cổng 30-pin ở đuôi máy, một cổng tương tự cũng được tích hợp ở phần cạnh phải.
Điều thú vị là nguyên mẫu này cho phép dùng đồng thời hai cổng. Một cổng có thể sạc hoặc kết nối dữ liệu, trong khi cổng còn lại có thể sử dụng với thiết bị ngoại vi như bàn phím, chuột.
iPad được Apple ra mắt năm 2010 với một cổng duy nhất.
Bảo Lâm (theo GizChina)"
